19,65035,England Vs India 1St Match,Prudential World Cup in England - 1975 (1975),1975-06-07,1,England,Mike Denness,334,4,16,6,India,Srinivas Venkataraghavan,132,3,13,Lord's,London,England,DJ Constant,JG Langridge,England,bat,England,England won by 202 runs,Dennis Amiss
20,65036,East Africa Vs New Zealand 2Nd Match,Prudential World Cup in England - 1975 (1975),1975-06-07,5,New Zealand,Glenn Turner,309,5,14,14,East Africa,Harilal Shah,128,8,6,Edgbaston,Birmingham,England,AE Fagg,HD Bird,New Zealand,bat,New Zealand,New Zealand won by 181 runs,Glenn Turner
21,65037,Australia Vs Pakistan 3Rd Match,Prudential World Cup in England - 1975 (1975),1975-06-07,2,Australia,Ian Chappell,278,7,13,7,Pakistan,Asif Iqbal,205,10,19,Headingley,Leeds,England,WE Alley,TW Spencer,Australia,bat,Australia,Australia won by 73 runs,Dennis Lillee
22,65038,Sri Lanka Vs West Indies 4Th Match,Prudential World Cup in England - 1975 (1975),1975-06-07,8,Sri Lanka,Anura Tennekoon,86,10,9,4,West Indies,Clive Lloyd,87,1,5,Old Trafford,Manchester,England,A Jepson,WL Budd,West Indies,bowl,West Indies,West Indies won by 9 wickets (with 236 balls remaining),Bernard Julien
23,65039,England Vs New Zealand 5Th Match,Prudential World Cup in England - 1975 (1975),1975-06-11,1,England,Mike Denness,266,6,8,5,New Zealand,Glenn Turner,186,10,10,Trent Bridge,Nottingham,England,WE Alley,TW Spencer,New Zealand,bowl,England,England won by 80 runs,Keith Fletcher
24,65040,East Africa Vs India 6Th Match,Prudential World Cup in England - 1975 (1975),1975-06-11,14,East Africa,Harilal Shah,120,10,9,6,India,Srinivas Venkataraghavan,123,0,4,Headingley,Leeds,England,A Jepson,HD Bird,East Africa,bat,India,India won by 10 wickets (with 181 balls remaining),Farokh Engineer
25,65041,Australia Vs Sri Lanka 7Th Match,Prudential World Cup in England - 1975 (1975),1975-06-11,2,Australia,Ian Chappell,328,5,23,8,Sri Lanka,Anura Tennekoon,276,4,24,Kennington Oval,London,England,AE Fagg,WL Budd,Sri Lanka,bowl,Australia,Australia won by 52 runs,Alan Turner
26,65042,Pakistan Vs West Indies 8Th Match,Prudential World Cup in England - 1975 (1975),1975-06-11,7,Pakistan,Majid Khan,266,7,26,4,West Indies,Clive Lloyd,267,9,19,Edgbaston,Birmingham,England,DJ Constant,JG Langridge,Pakistan,bat,West Indies,West Indies won by 1 wicket (with 2 balls remaining),Sarfraz Nawaz
27,65043,England Vs East Africa 9Th Match,Prudential World Cup in England - 1975 (1975),1975-06-14,1,England,Mike Denness,290,5,16,14,East Africa,Harilal Shah,94,10,10,Edgbaston,Birmingham,England,WE Alley,JG Langridge,East Africa,bowl,England,England won by 196 runs,John Snow
28,65044,India Vs New Zealand 10Th Match,Prudential World Cup in England - 1975 (1975),1975-06-14,6,India,Srinivas Venkataraghavan,230,10,10,5,New Zealand,Glenn Turner,233,6,13,Old Trafford,Manchester,England,AE Fagg,WL Budd,India,bat,New Zealand,New Zealand won by 4 wickets (with 7 balls remaining),Glenn Turner
29,65045,Australia Vs West Indies 11Th Match,Prudential World Cup in England - 1975 (1975),1975-06-14,2,Australia,Ian Chappell,192,10,16,4,West Indies,Clive Lloyd,195,3,10,Kennington Oval,London,England,DJ Constant,HD Bird,West Indies,bowl,West Indies,West Indies won by 7 wickets (with 84 balls remaining),Alvin Kallicharran
30,65046,Pakistan Vs Sri Lanka 12Th Match,Prudential World Cup in England - 1975 (1975),1975-06-14,7,Pakistan,Majid Khan,330,6,15,8,Sri Lanka,Anura Tennekoon,138,10,8,Trent Bridge,Nottingham,England,A Jepson,TW Spencer,Sri Lanka,bowl,Pakistan,Pakistan won by 192 runs,Zaheer Abbas
31,65047,England Vs Australia 1St Sf,Prudential World Cup in England - 1975 (1975),1975-06-18,1,England,Mike Denness,93,10,14,2,Australia,Ian Chappell,94,6,13,Headingley,Leeds,England,WE Alley,DJ Constant,Australia,bowl,Australia,Australia won by 4 wickets (with 188 balls remaining),Gary Gilmour
32,65048,New Zealand Vs West Indies 2Nd Sf,Prudential World Cup in England - 1975 (1975),1975-06-18,5,New Zealand,Glenn Turner,158,10,15,4,West Indies,Clive Lloyd,159,5,2,Kennington Oval,London,England,AE Fagg,WL Budd,West Indies,bowl,West Indies,West Indies won by 5 wickets (with 119 balls remaining),Alvin Kallicharran
33,65049,Australia Vs West Indies Final,Prudential World Cup in England - 1975 (1975),1975-06-21,4,West Indies,Clive Lloyd,291,8,17,2,Australia,Ian Chappell,274,10,18,Lord's,London,England,HD Bird,TW Spencer,Australia,bowl,West Indies,West Indies won by 17 runs,Clive Lloyd
218,65085,New Zealand Vs Pakistan 22Nd Match,Prudential World Cup in England - 1983 (1983),1983-06-20,7,Pakistan,Imran Khan,261,3,6,5,New Zealand,Geoff Howarth,250,10,14,Trent Bridge,Nottingham,England,DGL Evans,MJ Kitchen,Pakistan,bat,Pakistan,Pakistan won by 11 runs,Imran Khan
61,65050,India Vs West Indies 1St Match,Prudential World Cup in England - 1979 (1979),1979-06-09,6,India,Srinivas Venkataraghavan,190,10,16,4,West Indies,Clive Lloyd,194,1,13,Edgbaston,Birmingham,England,DGL Evans,JG Langridge,West Indies,bowl,West Indies,West Indies won by 9 wickets (with 51 balls remaining),Gordon Greenidge
62,65051,New Zealand Vs Sri Lanka 2Nd Match,Prudential World Cup in England - 1979 (1979),1979-06-09,8,Sri Lanka,Anura Tennekoon,189,10,17,5,New Zealand,Mark Burgess,190,1,10,Trent Bridge,Nottingham,England,KE Palmer,WL Budd,New Zealand,bowl,New Zealand,New Zealand won by 9 wickets (with 74 balls remaining),Geoff Howarth
63,65052,England Vs Australia 3Rd Match,Prudential World Cup in England - 1979 (1979),1979-06-09,2,Australia,Kim Hughes,159,9,10,1,England,Mike Brearley,160,4,21,Lord's,London,England,BJ Meyer,DJ Constant,England,bowl,England,England won by 6 wickets (with 77 balls remaining),Graham Gooch
64,65053,Canada Vs Pakistan 4Th Match,Prudential World Cup in England - 1979 (1979),1979-06-09,17,Canada,Bryan Mauricette,139,9,18,7,Pakistan,Asif Iqbal,140,2,9,Headingley,Leeds,England,AGT Whitehead,HD Bird,Canada,bat,Pakistan,Pakistan won by 8 wickets (with 119 balls remaining),Sadiq Mohammad
65,65054,India Vs New Zealand 6Th Match,Prudential World Cup in England - 1979 (1979),1979-06-13,6,India,Srinivas Venkataraghavan,182,10,14,5,New Zealand,Mark Burgess,183,2,6,Headingley,Leeds,England,AGT Whitehead,WL Budd,New Zealand,bowl,New Zealand,New Zealand won by 8 wickets (with 18 balls remaining),Bruce Edgar
